Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 8192, 1, 8, 64, 0.102978, 0.108779, N/A, 0.00477601, 0.00399417, 0.0276893, 0.0160236, 2, 2, 0.125, 2, 8, 1, 65.4732, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 8192, 1, 8, 64, 0.102978, 0.108779, N/A, 0.00477601, 0.00399417, 0.0276893, 0.0160236, 2, 2, 0.125, 2, 8, 1, 65.4732, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 8192, 1, 8, 64, 0.102978, 0.108779, N/A, 0.00477601, 0.00399417, 0.0276893, 0.0160236, 2, 2, 0.125, 2, 8, 1, 65.4732, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 8192, 1, 8, 64, 0.102978, 0.108779, N/A, 0.00477601, 0.00399417, 0.0276893, 0.0160236, 2, 2, 0.125, 2, 8, 1, 65.4732, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 16384, 1, 8, 64, 0.131966, 0.13176, N/A, 0.00626547, 0.00515601, 0.0526148, 0.0275166, 2, 2, 0.125, 2, 8, 1, 76.2537, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 2048, 1, 8, 64, 0.0799884, 0.0917794, N/A, 0.00362195, 0.00308582, 0.0079169, 0.00734336, 2, 2, 0.125, 2, 8, 1, 35.7166, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 2048, 1, 8, 64, 0.0799884, 0.0917794, N/A, 0.00362195, 0.00308582, 0.0079169, 0.00734336, 2, 2, 0.125, 2, 8, 1, 35.7166, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 2048, 1, 8, 64, 0.0799884, 0.0917794, N/A, 0.00362195, 0.00308582, 0.0079169, 0.00734336, 2, 2, 0.125, 2, 8, 1, 35.7166, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 16384, 1, 8, 64, 0.131966, 0.13176, N/A, 0.00626547, 0.00515601, 0.0526148, 0.0275166, 2, 2, 0.125, 2, 8, 1, 76.2537, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 131072, 1, 8, 64, 0.276602, 0.215164, N/A, 0.0198554, 0.0156841, 0.379248, 0.240081, 2, 8, 0.25, 4, 8, 1, 69.9178, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
