Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 65536, 1, 8, 64, 0.238356, 0.211527, N/A, 0.0139115, 0.0115656, 0.011642, 0.140602, 2, 8, 0.25, 4, 8, 1, 59.6932, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 262144, 1, 8, 64, 0.379856, 0.470741, N/A, 0.0286415, 0.0231672, 0.0443306, 0.538825, 2, 16, 0.5, 8, 8, 1, 62.3057, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 65536, 1, 8, 64, 0.215129, 0.215164, N/A, 0.0145654, 0.0103941, 0.189624, 0.115791, 2, 4, 0.25, 4, 8, 1, 72.4836, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 262144, 1, 8, 64, 0.365081, 0.215164, N/A, 0.0301614, 0.0259901, 0.758495, 0.489373, 2, 16, 0.25, 4, 8, 1, 68.6018, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 65536, 1, 8, 64, 0.424895, 0.339486, N/A, 0.0145078, 0.0127431, 164.973, 0.115321, 2, 4, 0.125, 2, 8, 1, 72.7792, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 262144, 1, 8, 64, 0.786879, 0.715444, N/A, 0.0315796, 0.0274083, 635.652, 0.489947, 2, 16, 0.25, 4, 8, 1, 68.5213, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 65536, 1, 8, 64, 0.238356, 0.211527, N/A, 0.0139115, 0.0115656, 0.011642, 0.140602, 2, 8, 0.25, 4, 8, 1, 59.6932, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 262144, 1, 8, 64, 0.379856, 0.470741, N/A, 0.0286415, 0.0231672, 0.0443306, 0.538825, 2, 16, 0.5, 8, 8, 1, 62.3057, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 65536, 1, 8, 64, 0.238356, 0.211527, N/A, 0.0139115, 0.0115656, 0.011642, 0.140602, 2, 8, 0.25, 4, 8, 1, 59.6932, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 262144, 1, 8, 64, 0.379856, 0.470741, N/A, 0.0286415, 0.0231672, 0.0443306, 0.538825, 2, 16, 0.5, 8, 8, 1, 62.3057, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 65536, 1, 8, 64, 0.215129, 0.215164, N/A, 0.0145654, 0.0103941, 0.189624, 0.115791, 2, 4, 0.25, 4, 8, 1, 72.4836, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 262144, 1, 8, 64, 0.365081, 0.215164, N/A, 0.0301614, 0.0259901, 0.758495, 0.489373, 2, 16, 0.25, 4, 8, 1, 68.6018, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 65536, 1, 8, 64, 0.424895, 0.339486, N/A, 0.0145078, 0.0127431, 164.973, 0.115321, 2, 4, 0.125, 2, 8, 1, 72.7792, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 262144, 1, 8, 64, 0.786879, 0.715444, N/A, 0.0315796, 0.0274083, 635.652, 0.489947, 2, 16, 0.25, 4, 8, 1, 68.5213, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
