Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 2048, 1, 4, 64, 0.0757034, 0.0676061, N/A, 0.00205385, 0.00206331, 0.00899107, 0.00526608, 2, 2, 0.125, 2, 4, 1, 49.8055, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 2048, 1, 4, 64, 0.108535, 0.101256, N/A, 0.00349479, 0.00345028, 0.00511105, 0.0111634, 2, 2, 0.125, 2, 4, 1, 49.7078, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 2048, 1, 4, 64, 0.158876, 0.150736, N/A, 0.00556268, 0.00543476, 0.00353363, 0.0220859, 2, 2, 0.125, 2, 4, 1, 49.6854, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 2048, 1, 8, 64, 0.0799884, 0.0917794, N/A, 0.00362195, 0.00308582, 0.0079169, 0.00734336, 2, 2, 0.125, 2, 8, 1, 35.7166, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 2048, 1, 8, 64, 0.112223, 0.13905, N/A, 0.00621874, 0.00528366, 0.00452116, 0.0155931, 2, 2, 0.125, 2, 8, 1, 35.5867, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 2048, 1, 8, 64, 0.161636, 0.206154, N/A, 0.00993712, 0.00841903, 0.00306291, 0.0308593, 2, 2, 0.125, 2, 8, 1, 35.5598, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4096, 1, 4, 64, 0.0882821, 0.0789981, N/A, 0.00246151, 0.00268159, 0.0169213, 0.00831336, 2, 2, 0.125, 2, 4, 1, 63.0984, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4096, 1, 4, 64, 0.123412, 0.114009, N/A, 0.0041158, 0.00438905, 0.00971538, 0.0176197, 2, 2, 0.125, 2, 4, 1, 62.987, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 4, 64, 0.178335, 0.166464, N/A, 0.00648833, 0.00683088, 0.00673642, 0.0348553, 2, 2, 0.125, 2, 4, 1, 62.9659, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4096, 1, 8, 64, 0.0903887, 0.0973758, N/A, 0.00399392, 0.00337589, 0.0145877, 0.0102544, 2, 2, 0.125, 2, 8, 1, 51.1548, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4096, 1, 8, 64, 0.126468, 0.145506, N/A, 0.00677954, 0.00572088, 0.00833261, 0.0217438, 2, 2, 0.125, 2, 8, 1, 51.0403, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 8, 64, 0.182362, 0.214268, N/A, 0.0107679, 0.00906684, 0.00563153, 0.0430207, 2, 2, 0.125, 2, 8, 1, 51.0149, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 8192, 1, 4, 64, 0.117248, 0.101957, N/A, 0.00320213, 0.00384343, 0.0315039, 0.0143795, 2, 2, 0.125, 2, 4, 1, 72.9594, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
